title,author,year,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
Falling,Trevor Daniel,2020,['melodic rap'],0.431,0.0887,127.085,0.0364,0.123,0.0,4,0.785,10,159382,-8.756,0.236,0
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",0.802,0.0642,95.881,0.228,0.158,5e-06,4,0.843,1,212500,-4.167,0.618,0
This Is What You Came For,Calvin Harris,2016,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.927,0.148,123.962,0.0332,0.199,0.119,4,0.631,9,222160,-2.787,0.465,0
I Feel It Coming,The Weeknd,2016,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.819,0.0679,92.99,0.118,0.426,0.0,4,0.773,0,269187,-5.946,0.585,0
Anti-Hero,Taylor Swift,2022,['pop'],0.648,0.161,96.888,0.062,0.121,2.62e-06,4,0.633,4,200690,-6.645,0.49,1
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.782,0.23,128.033,0.044,0.0125,0.033,4,0.621,2,198938,-5.548,0.55,1
Hello,Adele,2016,"['british soul', 'pop', 'pop soul', 'uk pop']",0.451,0.0872,157.966,0.0347,0.336,0.0,4,0.481,5,295493,-6.095,0.289,0
Psycho (feat. Ty Dolla $ign),Post Malone,2018,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.56,0.111,140.06,0.105,0.546,0.0,4,0.75,8,221440,-8.094,0.459,1
Cold Water,Major Lazer,2016,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",0.798,0.156,92.946,0.0432,0.0736,0.0,4,0.608,6,185360,-5.092,0.5,0
Bad Habits,Ed Sheeran,2021,"['pop', 'singer-songwriter pop', 'uk pop']",0.893,0.366,126.011,0.0347,0.0451,2.79e-05,4,0.807,11,230747,-3.745,0.537,0
IDGAF,Dua Lipa,2017,"['dance pop', 'pop', 'uk pop']",0.544,0.0824,97.028,0.0943,0.0403,0.0,4,0.836,7,217947,-5.975,0.51,1
death bed (coffee for your head),Powfu,2020,"['sad lo-fi', 'sad rap']",0.431,0.696,144.026,0.135,0.731,0.0,4,0.726,8,173333,-8.765,0.348,0
Me Porto Bonito,Bad Bunny,2022,"['reggaeton', 'trap latino', 'urbano latino']",0.712,0.0933,92.005,0.0817,0.0901,2.68e-05,4,0.911,1,178567,-5.105,0.425,0
Kiss Me More (feat. SZA),Doja Cat,2021,"['dance pop', 'pop']",0.705,0.12,110.97,0.0284,0.259,8.92e-05,4,0.764,8,208667,-3.463,0.781,1
Me Rehúso,Danny Ocean,2019,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",0.804,0.0494,104.823,0.0677,0.0231,0.0,4,0.744,1,205715,-6.327,0.426,1
ROXANNE,Arizona Zervas,2019,"['indie pop rap', 'pop rap', 'rhode island rap']",0.601,0.46,116.735,0.148,0.0522,0.0,5,0.621,6,163636,-5.616,0.457,0
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,2018,"['pop', 'uk pop']",0.437,0.106,180.042,0.0386,0.102,1.32e-06,4,0.259,11,239000,-6.589,0.0951,0
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,"['pop', 'uk pop']",0.443,0.213,117.968,0.0556,0.0601,1.91e-05,4,0.735,0,245653,-8.432,0.107,1
High Hopes,Panic! At The Disco,2018,['pop'],0.904,0.064,82.014,0.0618,0.193,0.0,4,0.579,5,190947,-2.729,0.681,1
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,"['indietronica', 'metropopolis', 'pop', 'uk pop']",0.606,0.125,189.857,0.0484,0.247,0.0,4,0.262,8,252534,-6.646,0.275,1
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2018,"['pop', 'uk dance', 'uk funky']",0.73,0.398,102.002,0.0568,0.383,0.0,4,0.717,9,251173,-4.729,0.792,0
Silence,Marshmello,2017,"['brostep', 'edm', 'pop', 'progressive electro house']",0.761,0.17,141.971,0.0853,0.256,4.96e-06,4,0.52,4,180823,-3.093,0.286,1
Tusa,KAROL G,2021,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",0.701,0.0514,100.946,0.282,0.309,7.36e-05,4,0.799,2,201920,-3.272,0.607,1
Cake By The Ocean,DNCE,2016,"['dance pop', 'pop']",0.753,0.0371,119.002,0.0517,0.152,0.0,4,0.774,4,219147,-5.446,0.896,0
The Middle,Zedd,2018,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",0.657,0.112,107.01,0.0449,0.171,0.0,4,0.753,7,184732,-3.061,0.437,1
Earned It (Fifty Shades Of Grey),The Weeknd,2015,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.291,0.0771,119.782,0.0348,0.405,0.0,3,0.657,2,277680,-8.275,0.405,0
In My Feelings,Drake,2018,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.626,0.396,91.03,0.125,0.0589,6e-05,4,0.835,1,217925,-5.833,0.35,1
Mi Gente,J Balvin,2018,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.703,0.143,104.666,0.0772,0.0168,2.38e-05,4,0.548,11,185040,-4.838,0.286,0
a thousand years,Christina Perri,2011,['pop'],0.407,0.11,139.028,0.0267,0.309,0.000961,3,0.421,10,285120,-7.445,0.161,1
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,"['girl group', 'pop', 'talent show']",0.585,0.0644,105.017,0.0432,0.103,3.94e-06,4,0.803,8,214480,-5.861,0.593,1
Young Dumb & Broke,Khalid,2017,"['pop', 'pop r&b']",0.539,0.165,136.948,0.0421,0.199,1.66e-05,4,0.799,1,202547,-6.351,0.394,1
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021,"['canadian pop', 'pop']",0.696,0.42,90.03,0.119,0.321,0.0,4,0.677,0,198082,-6.181,0.464,1
Let Me Down Slowly,Alec Benjamin,2018,"['alt z', 'pop', 'pov: indie']",0.557,0.124,150.073,0.0318,0.74,0.0,4,0.652,1,169354,-5.714,0.483,0
FRIENDS,Marshmello,2018,"['brostep', 'edm', 'pop', 'progressive electro house']",0.88,0.128,95.079,0.0504,0.205,0.0,4,0.626,9,202621,-2.384,0.534,0
Mask Off,Future,2017,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.434,0.165,150.062,0.431,0.0102,0.0219,4,0.833,2,204600,-8.795,0.281,1
"i hate u, i love u (feat. olivia o'brien)",gnash,2016,"['alt z', 'pop']",0.275,0.101,92.6,0.3,0.687,0.0,4,0.492,6,251034,-13.4,0.18,0
Fuck Love,XXXTENTACION,2017,"['emo rap', 'miami hip hop', 'rap']",0.533,0.103,131.036,0.0412,0.0172,0.000152,4,0.797,0,146520,-9.74,0.329,0
HIGHEST IN THE ROOM,Travis Scott,2019,"['rap', 'slap house']",0.427,0.21,76.469,0.0317,0.0546,5.83e-06,4,0.598,7,175721,-8.764,0.0605,0
Somebody That I Used To Know,Gotye,2011,['australian pop'],0.495,0.0992,129.062,0.037,0.591,0.000133,4,0.864,0,244973,-7.036,0.72,1
It Ain’t Me (with Selena Gomez),Kygo,2017,"['edm', 'pop', 'pop dance', 'tropical house']",0.533,0.0864,99.968,0.0706,0.119,0.0,4,0.64,0,220781,-6.596,0.515,1
2002,Anne-Marie,2018,['pop'],0.683,0.137,96.133,0.117,0.0372,0.0,4,0.697,1,186987,-2.881,0.603,0
Adore You,Harry Styles,2019,['pop'],0.771,0.102,99.048,0.0483,0.0237,7e-06,4,0.676,8,207133,-3.675,0.569,1
Beautiful People (feat. Khalid),Ed Sheeran,2019,"['pop', 'singer-songwriter pop', 'uk pop']",0.647,0.0801,92.979,0.186,0.124,0.0,4,0.64,5,197867,-8.114,0.546,0
Let You Down,NF,2017,"['hip hop', 'pop rap']",0.714,0.179,147.998,0.121,0.314,0.0,4,0.661,5,212120,-5.68,0.464,0
Halo,Beyoncé,2008,"['pop', 'r&b']",0.72,0.0563,79.983,0.0628,0.272,0.0,4,0.508,11,261640,-5.908,0.472,0
Redbone,Childish Gambino,2016,"['atl hip hop', 'hip hop', 'rap']",0.356,0.123,160.033,0.0941,0.172,0.00943,4,0.745,1,326933,-10.425,0.607,1
Billie Jean,Michael Jackson,2008,"['r&b', 'soul']",0.654,0.036,117.046,0.0401,0.0236,0.0153,4,0.92,11,293827,-3.051,0.847,0
Titanium (feat. Sia),David Guetta,2011,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.788,0.127,126.06,0.103,0.0678,0.153,4,0.604,0,245040,-3.673,0.301,0
In My Mind,Dynoro,2018,['edm'],0.77,0.118,125.905,0.149,0.176,1.1e-05,4,0.694,6,184560,-5.335,0.163,1
Location,Khalid,2017,"['pop', 'pop r&b']",0.449,0.0898,80.126,0.425,0.33,0.000162,4,0.736,1,219080,-11.462,0.326,0
Side To Side,Ariana Grande,2016,['pop'],0.736,0.235,159.173,0.229,0.0528,0.0,4,0.65,6,226160,-5.84,0.613,0
1-800-273-8255,Logic,2017,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0.574,0.19,100.023,0.0479,0.569,0.0,4,0.62,5,250173,-7.788,0.357,0
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017,"['dance pop', 'pop']",0.783,0.083,154.084,0.0856,0.047,0.0,4,0.643,10,163870,-6.458,0.579,1
Symphony (feat. Zara Larsson),Clean Bandit,2018,"['pop', 'uk dance', 'uk funky']",0.605,0.189,122.956,0.0428,0.239,1.41e-05,4,0.715,0,212733,-5.128,0.454,0
In the Name of Love,Martin Garrix,2016,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",0.519,0.454,133.99,0.0409,0.109,0.0,4,0.501,4,195707,-5.88,0.168,0
Under Pressure - Remastered 2011,Queen,1982,"['classic rock', 'glam rock', 'rock']",0.711,0.104,113.809,0.0478,0.422,0.0,4,0.671,2,248440,-7.813,0.466,1
changes,XXXTENTACION,2018,"['emo rap', 'miami hip hop', 'rap']",0.308,0.0984,64.934,0.029,0.883,0.0,4,0.669,11,121887,-10.068,0.52,1
The Nights,Avicii,2014,"['dance pop', 'edm', 'pop', 'pop dance']",0.835,0.249,125.983,0.0433,0.0166,0.0,4,0.527,6,176658,-5.298,0.654,1
Taste (feat. Offset),Tyga,2019,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.613,0.104,98.001,0.151,0.0293,0.0,4,0.866,0,229210,-6.385,0.359,1
Work,Rihanna,2016,"['barbadian pop', 'pop', 'urban contemporary']",0.534,0.0919,91.974,0.0946,0.0752,0.0,4,0.725,11,219320,-6.238,0.558,1
The Less I Know The Better,Tame Impala,2015,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.74,0.167,116.879,0.0284,0.0115,0.00678,4,0.64,4,216320,-4.083,0.785,1
Pompeii,Bastille,2013,"['metropopolis', 'modern rock', 'pop']",0.715,0.271,127.435,0.0407,0.0755,0.0,4,0.679,9,214148,-6.383,0.571,1
Passionfruit,Drake,2017,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.463,0.109,111.98,0.0396,0.256,0.085,4,0.809,11,298941,-11.377,0.364,1
no tears left to cry,Ariana Grande,2018,['pop'],0.713,0.294,121.993,0.0594,0.04,3.11e-06,4,0.699,9,205920,-5.507,0.354,0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",0.667,0.134,80.984,0.0367,0.0533,0.0,4,0.599,7,288877,-4.267,0.817,1
everything i wanted,Billie Eilish,2019,"['art pop', 'pop']",0.225,0.106,120.006,0.0994,0.902,0.657,4,0.704,6,245426,-14.454,0.243,0
Wolves,Selena Gomez,2017,"['pop', 'post-teen pop']",0.804,0.204,124.996,0.0422,0.124,0.0,4,0.725,11,197993,-4.614,0.31,0
24K Magic,Bruno Mars,2016,"['dance pop', 'pop']",0.803,0.153,106.97,0.0797,0.034,0.0,4,0.818,1,225983,-4.282,0.632,1
Sucker,Jonas Brothers,2019,"['boy band', 'pop']",0.734,0.106,137.958,0.0588,0.0427,0.0,4,0.842,1,181027,-5.065,0.952,0
Seven Nation Army,The White Stripes,2003,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",0.446,0.337,123.596,0.0683,0.0039,0.118,4,0.743,4,232107,-7.807,0.278,0
Hotel California - 2013 Remaster,Eagles,1976,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.508,0.0575,147.125,0.027,0.00574,0.000494,4,0.579,2,391376,-9.484,0.609,1
Con Calma,Daddy Yankee,2019,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.86,0.0574,93.989,0.0593,0.11,1.94e-06,4,0.737,8,193227,-2.652,0.656,0
Lush Life,Zara Larsson,2017,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",0.712,0.211,98.023,0.046,0.132,0.0,4,0.694,7,201122,-3.923,0.799,0
Beggin',Måneskin,2017,"['indie rock italiano', 'italian pop']",0.8,0.359,134.002,0.0504,0.127,0.0,4,0.714,11,211560,-4.808,0.589,0
Hotline Bling,Drake,2016,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.628,0.0504,134.966,0.0551,0.00258,0.00019,4,0.891,2,267067,-7.863,0.552,1
Last Christmas,Wham!,1984,"['new romantic', 'new wave', 'new wave pop', 'soft rock']",0.478,0.355,107.682,0.0293,0.189,2.48e-06,4,0.735,2,262960,-12.472,0.947,1
Callaita,Bad Bunny,2019,"['reggaeton', 'trap latino', 'urbano latino']",0.624,0.243,176.169,0.309,0.6,2.12e-06,4,0.61,2,250534,-4.773,0.244,1
Happier,Ed Sheeran,2017,"['pop', 'singer-songwriter pop', 'uk pop']",0.385,0.135,89.792,0.0288,0.536,0.0,4,0.522,0,207520,-7.355,0.236,1
September,"Earth, Wind & Fire",1978,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",0.832,0.269,125.926,0.0298,0.168,0.00131,4,0.697,9,215093,-7.264,0.979,1
Castle on the Hill,Ed Sheeran,2017,"['pop', 'singer-songwriter pop', 'uk pop']",0.834,0.14,135.007,0.0989,0.0232,1.14e-05,4,0.461,2,261154,-4.868,0.471,1
Sign of the Times,Harry Styles,2017,['pop'],0.595,0.109,119.972,0.0313,0.0275,0.0,4,0.516,5,340707,-4.63,0.222,1
Summer,Calvin Harris,2014,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.856,0.141,127.949,0.0346,0.0211,0.0178,4,0.596,4,222533,-3.556,0.743,0
Everybody Dies In Their Nightmares,XXXTENTACION,2017,"['emo rap', 'miami hip hop', 'rap']",0.57,0.112,129.953,0.133,0.847,2.14e-05,4,0.734,7,95467,-7.066,0.689,0
Look At Me!,XXXTENTACION,2017,"['emo rap', 'miami hip hop', 'rap']",0.726,0.0976,139.059,0.282,0.259,0.0,4,0.763,1,126346,-6.405,0.349,1
Scars To Your Beautiful,Alessia Cara,2015,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.739,0.111,97.085,0.129,0.0285,0.0,4,0.573,0,230227,-5.74,0.451,1
MIA (feat. Drake),Bad Bunny,2018,"['reggaeton', 'trap latino', 'urbano latino']",0.539,0.099,97.062,0.0621,0.0141,0.000496,4,0.817,6,210368,-6.349,0.158,0
"Me, Myself & I",G-Eazy,2015,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",0.674,0.158,111.995,0.0959,0.0184,0.0,4,0.756,0,251467,-6.518,0.389,0
PILLOWTALK,ZAYN,2016,"['pop', 'uk pop']",0.7,0.0939,124.944,0.0456,0.117,0.0,4,0.584,11,202747,-4.275,0.438,1
All Girls Are The Same,Juice WRLD,2018,"['chicago rap', 'melodic rap', 'rap']",0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165820,-7.226,0.203,1
Back In Black,AC/DC,1980,"['australian rock', 'hard rock', 'rock']",0.7,0.0828,188.386,0.047,0.011,0.00965,4,0.31,9,255493,-5.678,0.763,1
Ride It,Regard,2019,"['pop dance', 'pop edm', 'slap house', 'uk dance']",0.751,0.106,117.948,0.0874,0.177,6.43e-05,4,0.88,7,157606,-4.258,0.884,0
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014,"['dance pop', 'pop']",0.757,0.0885,159.945,0.144,0.291,0.0,4,0.662,5,233293,-6.818,0.962,0
"Hey, Soul Sister",Train,2010,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.886,0.0826,97.012,0.0431,0.185,0.0,4,0.673,1,216773,-4.44,0.795,0
Galway Girl,Ed Sheeran,2017,"['pop', 'singer-songwriter pop', 'uk pop']",0.876,0.327,99.943,0.1,0.0735,0.0,4,0.624,9,170827,-3.374,0.781,1
WAP (feat. Megan Thee Stallion),Cardi B,2020,"['pop', 'rap']",0.454,0.0824,133.073,0.375,0.0194,0.0,4,0.935,1,187541,-7.509,0.357,1
Needed Me,Rihanna,2016,"['barbadian pop', 'pop', 'urban contemporary']",0.314,0.0825,110.898,0.244,0.11,0.0,4,0.671,5,191600,-8.091,0.296,0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020,"['pop rap', 'trap']",0.658,0.111,140.042,0.079,0.25,0.0,4,0.8,1,195429,-6.142,0.462,0
Better,Khalid,2018,"['pop', 'pop r&b']",0.552,0.104,97.949,0.097,0.0765,0.334,4,0.596,0,229320,-10.278,0.112,0
Rude,MAGIC!,2014,"['pop', 'reggae fusion']",0.758,0.305,144.033,0.0381,0.0422,0.0,4,0.773,1,224840,-4.993,0.925,1
LA CANCIÓN,J Balvin,2019,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.646,0.108,176.088,0.319,0.152,1.81e-05,4,0.756,7,242573,-5.795,0.429,1
Blueberry Faygo,Lil Mosey,2020,"['melodic rap', 'rap conscient']",0.554,0.132,99.034,0.0383,0.207,0.0,4,0.774,0,162547,-7.909,0.349,1
Panda,Desiigner,2016,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",0.766,0.366,144.836,0.449,0.0278,1.71e-06,4,0.576,10,246761,-4.943,0.236,0
Bang Bang,Jessie J,2014,"['dance pop', 'pop']",0.786,0.38,150.028,0.091,0.26,0.0,4,0.706,0,199387,-3.417,0.751,0
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2015,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",0.877,0.233,107.991,0.0664,0.0375,0.000833,4,0.747,9,166138,-3.782,0.752,0
More Than You Know,Axwell /\ Ingrosso,2017,"['edm', 'pop dance', 'progressive electro house']",0.741,0.312,123.077,0.034,0.0275,0.0,4,0.646,5,203000,-4.973,0.571,0
All The Stars (with SZA),Kendrick Lamar,2018,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.633,0.0926,96.782,0.0599,0.0612,0.000195,4,0.695,8,232187,-4.946,0.557,1
Stay,Zedd,2017,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",0.622,0.116,102.04,0.0622,0.253,0.0,4,0.69,5,210091,-5.025,0.544,0
Starving,Hailee Steinfeld,2016,['pop'],0.616,0.105,99.962,0.0645,0.378,0.0,4,0.728,4,181880,-4.238,0.508,1
The Real Slim Shady,Eminem,2000,"['detroit hip hop', 'hip hop', 'rap']",0.661,0.0454,104.504,0.0572,0.0302,0.0,4,0.949,5,284200,-4.244,0.76,0
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005,"['colombian pop', 'dance pop', 'latin pop', 'pop']",0.824,0.405,100.024,0.0707,0.284,0.0,4,0.778,10,218093,-5.892,0.758,0
hot girl bummer,blackbear,2020,"['alt z', 'pop']",0.559,0.385,129.992,0.0767,0.125,0.0,1,0.782,6,188344,-7.106,0.685,0
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",0.655,0.115,95.078,0.137,0.0525,0.0,4,0.715,0,207333,-6.425,0.531,1
Scared to Be Lonely,Martin Garrix,2017,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",0.54,0.261,137.972,0.0576,0.0895,0.0,4,0.584,1,220883,-7.786,0.195,0
Stronger,Kanye West,2007,"['chicago rap', 'hip hop', 'rap']",0.726,0.318,103.98,0.155,0.00728,0.0,4,0.625,10,311867,-7.731,0.483,0
Rather Be (feat. Jess Glynne),Clean Bandit,2014,"['pop', 'uk dance', 'uk funky']",0.586,0.193,120.97,0.0377,0.162,2.03e-06,4,0.799,11,227833,-6.735,0.549,1
Ric Flair Drip (with Metro Boomin),Offset,2017,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",0.428,0.114,100.007,0.206,0.149,5.05e-05,4,0.88,9,172800,-8.28,0.333,1
Call Out My Name,The Weeknd,2018,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.593,0.307,134.165,0.0356,0.165,0.0,3,0.461,1,228373,-4.954,0.174,1
Feel It Still,Portugal. The Man,2017,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",0.795,0.0717,79.028,0.0504,0.0417,0.000113,4,0.801,1,163253,-5.115,0.754,0
She Will Be Loved - Radio Mix,Maroon 5,2002,['pop'],0.663,0.0994,102.0,0.0281,0.228,0.0,4,0.651,0,259453,-5.569,0.465,0
Dancing With A Stranger (with Normani),Sam Smith,2019,"['pop', 'uk pop']",0.52,0.222,102.998,0.0656,0.447,1.97e-06,4,0.741,8,171030,-7.513,0.347,1
Dreams - 2004 Remaster,Fleetwood Mac,1977,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",0.492,0.128,120.151,0.0276,0.0644,0.00428,4,0.828,0,257800,-9.744,0.789,1
Timber,Pitbull,2012,"['dance pop', 'miami hip hop', 'pop']",0.963,0.139,129.992,0.0981,0.0295,0.0,4,0.581,11,204160,-4.087,0.788,1
Nice For What,Drake,2018,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.909,0.119,93.372,0.0707,0.0891,9.7e-05,4,0.585,8,210747,-6.474,0.758,1
Issues,Julia Michaels,2017,['pop'],0.415,0.0616,114.145,0.0639,0.401,0.0,4,0.728,8,176320,-6.852,0.455,1
positions,Ariana Grande,2020,['pop'],0.802,0.0931,144.015,0.0878,0.468,0.0,4,0.737,0,172325,-4.771,0.682,1
Highway to Hell,AC/DC,1979,"['australian rock', 'hard rock', 'rock']",0.913,0.156,115.728,0.133,0.061,0.00158,4,0.574,6,208400,-4.793,0.423,0
What Lovers Do (feat. SZA),Maroon 5,2018,['pop'],0.598,0.1,109.998,0.0617,0.0798,5.47e-06,4,0.8,5,199849,-5.131,0.422,0
Mercy,Shawn Mendes,2016,"['canadian pop', 'pop', 'viral pop']",0.686,0.11,148.294,0.0903,0.133,0.0,4,0.568,11,208733,-4.901,0.4,0
Maps,Maroon 5,2014,['pop'],0.713,0.059,120.032,0.0303,0.0205,0.0,4,0.742,1,189960,-5.522,0.879,0
Into You,Ariana Grande,2016,['pop'],0.734,0.145,107.853,0.107,0.0162,1.75e-06,4,0.623,9,244453,-5.948,0.37,1
Livin' On A Prayer,Bon Jovi,1986,"['glam metal', 'rock']",0.887,0.294,122.509,0.0335,0.0778,0.000206,4,0.532,0,249293,-3.757,0.794,1
Pepas,Farruko,2021,"['reggaeton', 'trap latino', 'urbano latino']",0.766,0.128,130.001,0.0343,0.00776,6.98e-05,4,0.762,7,287120,-3.955,0.442,1
Ransom,Lil Tecca,2019,"['melodic rap', 'pluggnb', 'rap']",0.642,0.0658,179.974,0.287,0.0204,0.0,4,0.745,7,131240,-6.257,0.226,0
Robbery,Juice WRLD,2019,"['chicago rap', 'melodic rap', 'rap']",0.692,0.153,159.966,0.0457,0.328,0.0,5,0.685,2,240051,-5.122,0.578,1
Stolen Dance,Milky Chance,2014,"['german pop', 'modern rock']",0.581,0.0759,114.016,0.0378,0.427,0.000204,4,0.885,11,313684,-8.813,0.728,1
Love The Way You Lie,Eminem,2010,"['detroit hip hop', 'hip hop', 'rap']",0.925,0.52,86.989,0.227,0.241,0.0,4,0.749,10,263373,-5.034,0.641,1
Fix You,Coldplay,2005,"['permanent wave', 'pop']",0.417,0.113,138.178,0.0338,0.164,0.00196,4,0.209,3,295533,-8.74,0.124,1
Easy On Me,Adele,2021,"['british soul', 'pop', 'pop soul', 'uk pop']",0.366,0.133,141.981,0.0282,0.578,0.0,4,0.604,5,224695,-7.519,0.13,1
Calma - Remix,Pedro Capó,2018,"['latin pop', 'puerto rican pop']",0.773,0.143,126.899,0.0524,0.323,0.0,4,0.826,11,238200,-4.218,0.761,0
Sorry Not Sorry,Demi Lovato,2017,"['pop', 'post-teen pop']",0.643,0.262,143.944,0.232,0.0242,0.0,4,0.705,11,203760,-6.929,0.884,0
BUTTERFLY EFFECT,Travis Scott,2017,"['rap', 'slap house']",0.598,0.112,140.987,0.0539,0.0714,0.0,4,0.763,11,190678,-6.865,0.182,1
Hall of Fame (feat. will.i.am),The Script,2012,"['celtic rock', 'pop']",0.873,0.123,84.786,0.0564,0.0654,0.0,4,0.421,10,202533,-4.343,0.629,1
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.662,0.534,112.509,0.292,0.0852,0.0,4,0.897,1,145543,-6.903,0.39,0
Goodbyes (feat. Young Thug),Post Malone,2019,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.653,0.103,150.097,0.081,0.456,0.0,4,0.547,5,174853,-3.875,0.163,1
Waiting For Love,Avicii,2015,"['dance pop', 'edm', 'pop', 'pop dance']",0.736,0.198,127.999,0.0527,0.31,0.0,4,0.579,6,230613,-3.863,0.613,0
Sugar (feat. Francesco Yates),Robin Schulz,2015,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",0.815,0.163,123.063,0.0581,0.0185,0.0,4,0.636,5,219043,-5.098,0.636,0
Party In The U.S.A.,Miley Cyrus,2009,['pop'],0.698,0.0886,96.021,0.042,0.00112,0.000115,4,0.652,10,202067,-4.667,0.47,0
Gangsta's Paradise,Coolio,1995,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",0.514,0.398,79.975,0.0593,0.0655,0.0,4,0.647,8,240693,-10.05,0.386,1
Woman,Doja Cat,2021,"['dance pop', 'pop']",0.764,0.117,107.998,0.0854,0.0888,0.00294,4,0.824,5,172627,-4.175,0.881,0
Say So,Doja Cat,2019,"['dance pop', 'pop']",0.673,0.0904,110.962,0.159,0.264,3.35e-06,4,0.787,11,237893,-4.583,0.779,0
One Last Time,Ariana Grande,2014,['pop'],0.593,0.096,125.025,0.0323,0.093,1.65e-06,4,0.628,8,197267,-5.036,0.104,1
I Want It That Way,Backstreet Boys,1999,"['boy band', 'dance pop', 'pop']",0.694,0.148,99.039,0.027,0.257,0.0,4,0.689,6,213307,-5.83,0.482,0
Thunderstruck,AC/DC,1990,"['australian rock', 'hard rock', 'rock']",0.89,0.217,133.52,0.0364,0.000147,0.0117,4,0.502,4,292880,-5.175,0.259,1
Classic,MKTO,2012,"['pop', 'post-teen pop']",0.791,0.157,102.071,0.124,0.0384,0.0,4,0.72,1,175427,-4.689,0.756,1
Astronaut In The Ocean,Masked Wolf,2021,['australian hip hop'],0.695,0.15,149.996,0.0913,0.175,0.0,4,0.778,4,132780,-6.865,0.472,0
